,Date,Price,Open,High,Low,Vol.,Change %,Currency
634,04/12/2021,531.78,532.78,532.78,532.78,,0.00%,USD
635,04/09/2021,531.78,533.78,533.78,532.78,0.01K,-0.42%,USD
636,04/08/2021,534.0,534.5,534.5,534.5,,0.00%,USD
637,04/07/2021,534.0,533.25,534.5,533.17,3.81K,0.47%,USD
638,04/06/2021,531.5,533.25,535.11,533.17,5.04K,0.00%,USD
639,04/05/2021,531.5,533.17,533.92,532.34,4.66K,0.19%,USD
640,04/02/2021,530.5,529.75,533.59,528.5,5.00K,0.19%,USD
641,04/01/2021,529.5,529.25,529.75,528.0,7.32K,0.19%,USD
642,03/31/2021,528.5,529.0,529.25,528.0,7.29K,0.09%,USD
643,03/30/2021,528.0,528.75,529.0,528.0,4.76K,0.09%,USD
644,03/29/2021,527.5,528.25,528.75,527.0,3.11K,0.19%,USD
645,03/26/2021,526.5,528.68,528.84,527.34,2.31K,0.29%,USD
646,03/25/2021,525.0,528.0,528.84,527.16,1.63K,-0.19%,USD
647,03/24/2021,526.0,527.75,528.66,527.0,3.53K,0.10%,USD
648,03/23/2021,525.5,527.75,528.56,526.88,3.09K,0.00%,USD
649,03/22/2021,525.5,527.75,528.38,526.38,3.14K,0.00%,USD
650,03/19/2021,525.5,527.75,528.43,526.21,3.17K,0.00%,USD
651,03/18/2021,525.5,527.69,528.34,526.21,2.95K,-0.23%,USD
652,03/17/2021,526.69,527.5,528.34,526.84,3.66K,0.32%,USD
653,03/16/2021,525.0,527.5,528.34,526.03,4.88K,0.00%,USD
654,03/15/2021,525.0,526.88,528.03,525.94,4.64K,0.10%,USD
655,03/12/2021,524.5,527.25,527.94,525.75,6.53K,0.00%,USD
656,03/11/2021,524.5,526.75,527.69,524.95,7.16K,0.19%,USD
657,03/10/2021,523.5,525.29,527.47,524.65,5.01K,-0.15%,USD
658,03/09/2021,524.29,525.46,525.73,523.9,0.02K,-0.03%,USD
659,03/08/2021,524.46,525.46,525.73,524.23,0.01K,0.00%,USD
660,03/05/2021,524.46,524.98,526.23,523.79,0.03K,0.09%,USD
661,03/04/2021,523.98,526.5,527.49,524.39,2.30K,0.19%,USD
662,03/03/2021,523.0,527.25,528.18,524.99,3.37K,-0.29%,USD
663,03/02/2021,524.5,528.0,528.18,525.35,4.31K,-0.29%,USD
664,03/01/2021,526.0,527.75,528.0,525.65,3.13K,0.10%,USD
665,02/26/2021,525.5,526.97,527.98,525.48,4.16K,-0.09%,USD
666,02/25/2021,525.97,527.0,527.98,525.7,4.83K,0.38%,USD
667,02/24/2021,524.0,526.75,527.72,524.88,7.27K,0.10%,USD
668,02/23/2021,523.5,525.1,527.38,523.8,4.79K,0.10%,USD
669,02/22/2021,523.0,524.48,527.05,523.17,2.72K,-0.09%,USD
670,02/19/2021,523.48,524.33,525.24,523.16,0.04K,0.03%,USD
671,02/18/2021,523.33,524.33,525.17,523.65,0.02K,0.00%,USD
672,02/17/2021,523.33,524.92,525.46,522.86,0.03K,-0.11%,USD
673,02/16/2021,523.92,524.6,524.96,523.3,0.02K,0.06%,USD
674,02/15/2021,523.6,524.28,525.25,523.28,0.02K,0.06%,USD
675,02/12/2021,523.28,524.07,525.04,522.98,0.04K,0.04%,USD
676,02/11/2021,523.07,523.13,525.03,522.55,0.05K,0.18%,USD
677,02/10/2021,522.13,522.6,524.52,521.8,0.03K,0.10%,USD
678,02/09/2021,521.6,521.8,524.1,521.4,0.03K,0.31%,USD
679,02/08/2021,520.0,523.15,523.4,520.9,0.03K,0.00%,USD
680,02/05/2021,520.0,520.6,521.8,519.6,0.02K,0.08%,USD
681,02/04/2021,519.6,520.15,521.65,519.45,0.03K,0.09%,USD
682,02/03/2021,519.15,519.2,521.58,519.0,0.04K,0.18%,USD
683,02/02/2021,518.2,518.88,519.8,517.64,0.03K,0.06%,USD
684,02/01/2021,517.88,518.27,520.44,517.53,0.03K,0.17%,USD
685,01/29/2021,517.0,518.16,520.14,517.58,0.04K,-0.03%,USD
686,01/28/2021,517.16,518.16,518.72,518.08,0.02K,0.00%,USD
687,01/27/2021,517.16,518.25,519.93,517.88,0.03K,0.03%,USD
688,01/26/2021,517.0,518.44,519.97,517.97,0.03K,-0.09%,USD
689,01/25/2021,517.44,518.44,520.22,518.2,0.03K,0.00%,USD
690,01/22/2021,517.44,518.89,520.4,518.22,0.04K,-0.09%,USD
691,01/21/2021,517.89,519.19,520.34,517.95,0.03K,-0.06%,USD
692,01/20/2021,518.19,522.15,522.15,519.09,0.02K,-0.57%,USD
693,01/19/2021,521.15,522.19,523.59,521.08,0.03K,-0.01%,USD
694,01/18/2021,521.19,522.52,524.55,522.19,0.02K,-0.06%,USD
695,01/15/2021,521.52,525.4,525.4,521.76,0.02K,-0.55%,USD
696,01/14/2021,524.4,527.25,528.04,524.5,2.35K,-0.02%,USD
697,01/13/2021,524.5,523.75,527.99,523.5,5.46K,0.38%,USD
698,01/12/2021,522.5,523.25,527.35,522.88,6.96K,0.19%,USD
699,01/11/2021,521.5,522.55,525.38,521.53,4.09K,0.38%,USD
700,01/08/2021,519.5,522.59,525.5,521.53,0.28K,-0.40%,USD
701,01/07/2021,521.59,522.59,525.0,522.59,0.00K,0.31%,USD
702,01/06/2021,520.0,523.5,523.5,523.5,,0.19%,USD
703,01/05/2021,519.0,522.25,522.75,522.0,0.91K,-0.10%,USD
704,01/04/2021,519.5,522.25,522.75,522.0,2.49K,0.00%,USD
705,01/01/2021,519.5,522.25,522.25,522.25,,0.00%,USD
706,12/31/2020,519.5,522.25,522.75,522.0,5.05K,0.00%,USD
707,12/30/2020,519.5,522.25,524.15,520.65,5.11K,0.00%,USD
708,12/29/2020,519.5,522.25,523.75,521.15,5.83K,0.00%,USD
709,12/28/2020,519.5,522.48,525.25,521.24,2.90K,-0.38%,USD
710,12/25/2020,521.48,522.25,523.24,521.49,1.29K,0.38%,USD
711,12/24/2020,519.5,522.25,524.95,521.1,6.49K,0.00%,USD
712,12/23/2020,519.5,522.25,523.6,520.95,7.06K,0.00%,USD
713,12/22/2020,519.5,522.25,523.48,520.83,7.01K,0.00%,USD
714,12/21/2020,519.5,522.23,525.05,520.83,4.58K,0.00%,USD
715,12/18/2020,519.5,522.25,523.61,521.11,6.93K,0.00%,USD
716,12/17/2020,519.5,522.5,525.25,521.96,7.03K,-0.10%,USD
717,12/16/2020,520.0,522.25,524.85,522.25,6.97K,0.10%,USD
718,12/15/2020,519.5,522.25,524.55,521.48,4.96K,0.00%,USD
719,12/14/2020,519.5,522.0,524.35,521.23,3.96K,1.46%,USD
720,12/11/2020,512.0,514.45,515.0,513.9,0.02K,-0.19%,USD
721,12/10/2020,513.0,514.5,516.22,513.5,2.35K,0.39%,USD
722,12/09/2020,511.0,512.5,514.25,512.5,2.47K,0.20%,USD
723,12/08/2020,510.0,509.25,514.22,509.25,7.00K,0.29%,USD
724,12/07/2020,508.5,511.25,514.27,509.25,4.73K,0.00%,USD
725,12/04/2020,508.5,508.25,512.78,508.25,7.26K,0.39%,USD
726,12/03/2020,506.5,508.25,511.2,508.0,5.15K,0.00%,USD
727,12/02/2020,506.5,506.98,510.37,506.95,3.95K,0.10%,USD
728,12/01/2020,505.98,506.75,508.29,505.15,2.43K,0.49%,USD
729,11/30/2020,503.5,508.21,508.61,505.45,2.31K,0.00%,USD
730,11/27/2020,503.5,506.75,508.35,506.75,2.16K,0.00%,USD
731,11/26/2020,503.5,507.5,508.45,506.75,3.51K,-0.30%,USD
732,11/25/2020,505.0,507.5,508.5,506.5,1.24K,2.02%,USD
733,11/24/2020,495.0,498.25,498.25,497.5,1.11K,-0.30%,USD
734,11/23/2020,496.5,498.25,498.25,497.5,2.15K,0.00%,USD
735,11/20/2020,496.5,498.25,498.25,497.5,5.39K,0.00%,USD
736,11/19/2020,496.5,497.25,499.85,497.25,4.87K,0.40%,USD
737,11/18/2020,494.5,496.5,497.25,494.5,7.21K,0.30%,USD
738,11/17/2020,493.0,496.5,496.75,493.0,5.05K,0.00%,USD
739,11/16/2020,493.0,495.94,497.47,493.5,3.74K,-0.39%,USD
740,11/13/2020,494.94,495.58,495.97,494.79,0.01K,0.07%,USD
741,11/12/2020,494.58,494.76,495.79,494.76,0.01K,0.17%,USD
742,11/11/2020,493.76,494.13,494.76,494.1,0.01K,0.36%,USD
